voucher_type_account_id,voucher_type_account_track_number,voucher_type_account_name,voucher_type_account_code,voucher_type_account_created_date,voucher_type_account_created_by,voucher_type_account_last_modified_by,voucher_type_account_last_modified_date,fk_approval_id,fk_status_id
1,VONT-21244,Bank,bank,2020-08-20,1,1,,15,"0"
2,VONT-60342,Cash,cash,2020-08-20,1,1,,16,"0"
